company_id,final_score,trajectory,persistence,group_id,country,currency,erp,created_at,base_score,base_score_band,behavioral_cohort,group_size_in_sample,group_erp,coverage_pct,months_available,currency_scope,rule_version,data_cutoff,primary_fallback_used,drift_fallback_used
COMP_0001,75.4,improving,unconfirmed,GROUP_0147,,EUR,sage200,2026-03-11 12:20:06,75.4,70-80,70-80|improving,3,,0.88,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0002,50.2,deteriorating,confirmed,GROUP_0125,Portugal,EUR,,2024-05-30 15:14:10,60.2,60-70,60-70|deteriorating,3,Netsuite,0.75,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0003,96.6,improving,confirmed,GROUP_0044,,EUR,businessCentral,2026-06-19 11:55:34,86.6,80-90,80-90|improving,13,,0.5,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0004,51.8,stable,unconfirmed,GROUP_0058,ES,EUR,businessCentral,2026-02-25 08:10:06,51.8,50-60,50-60|stable,3,,1.0,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0005,60.0,stable,unconfirmed,GROUP_0092,,EUR,,2026-07-02 14:59:39,60.0,60-70,60-70|stable,6,,0.32,19,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0006,64.7,improving,unconfirmed,GROUP_0195,,EUR,businessCentral,2026-01-09 10:39:38,64.7,60-70,60-70|improving,6,,0.5,12,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0007,66.2,deteriorating,unconfirmed,GROUP_0064,,EUR,,2026-03-10 11:53:54,66.2,60-70,60-70|deteriorating,12,,0.95,21,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0008,89.9,improving,unconfirmed,GROUP_0195,,EUR,businessCentral,2026-01-09 10:32:46,89.9,80-90,80-90|improving,6,,1.0,12,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0009,68.2,improving,unconfirmed,GROUP_0225,,EUR,businessCentral,2025-08-07 10:10:47,68.2,60-70,60-70|improving,4,,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0010,75.3,deteriorating,unconfirmed,GROUP_0013,,EUR,sageX3,2024-05-23 10:03:43,75.3,70-80,70-80|deteriorating,12,Sage X3,0.42,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0011,79.6,stable,unconfirmed,GROUP_0234,,EUR,businessOne,2025-10-20 09:21:17,79.6,70-80,70-80|stable,6,,0.56,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0012,100.0,stable,unconfirmed,GROUP_0087,,EUR,,2025-10-06 14:29:08,100.0,90-100,90-100|stable,9,,0.0,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0013,68.6,improving,unconfirmed,GROUP_0203,,EUR,netsuite,2026-02-19 15:45:36,68.6,60-70,60-70|improving,5,,0.89,9,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0014,,insufficient_data,unconfirmed,GROUP_0173,,CAD,businessCentral,2026-01-21 17:01:11,,,,3,,,0,insufficient,v2.0.0-w3-h9,2026-09-01,True,True
COMP_0015,68.3,deteriorating,unconfirmed,GROUP_0068,,EUR,businessCentral,2025-04-24 11:29:51,68.3,60-70,60-70|deteriorating,4,,0.0,17,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0016,51.1,deteriorating,unconfirmed,GROUP_0070,ES,EUR,businessCentral,2023-06-06 14:53:57,51.1,50-60,50-60|deteriorating,18,Microsoft Business Central,0.88,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0017,68.9,improving,unconfirmed,GROUP_0073,,EUR,businessCentral,2025-04-15 10:40:31,68.9,60-70,60-70|improving,3,Microsoft Business Central,0.0,18,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0018,73.3,deteriorating,unconfirmed,GROUP_0250,,EUR,distritoK,2022-04-22 11:33:18,73.3,70-80,70-80|deteriorating,19,Distrito K,0.54,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0019,77.6,deteriorating,unconfirmed,GROUP_0212,,EUR,,2024-07-10 16:36:49,77.6,70-80,70-80|deteriorating,11,,1.0,24,EUR_only,v2.0.0-w3-h9,2026-09-01,False,False
COMP_0020,60.6,stable,unconfirmed,GROUP_0007,,EUR,,2026-04-27 14:27:49,60.6,60-70,60-70|stable,5,,0.75,8,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
COMP_0021,66.0,deteriorating,confirmed,GROUP_0023,,EUR,sage200,2026-03-26 16:18:11,70.2,70-80,70-80|deteriorating,17,,0.71,7,EUR_only,v2.0.0-w3-h9,2026-09-01,False,True
